borrower_id,age,gender,state,business_sector,years_in_business,monthly_income_ngn,pos_txn_count_monthly,pos_txn_volume_ngn_monthly,loan_amount_ngn,loan_tenor_months,interest_rate_monthly_pct,existing_loans_count,collateral_provided,has_bank_account,urban_rural,loan_channel,trade_association_member,mobile_money_active,sim_tenure_months,repayment_history_score,defaulted
BRW100000,22,Female,Kano,Fashion & Tailoring,3.8,27300,42,184500,21000,3,4.65,1,0,1,Urban,POS Agent,1,1,53,51.3,1
BRW100001,55,Female,Kaduna,Fashion & Tailoring,5.1,39300,88,489200,54000,3,4.08,0,0,1,Urban,POS Agent,1,0,102,99.3,0
BRW100002,49,Male,Abuja (FCT),Trading/Retail,3.1,16500,53,201200,14000,1,8.8,1,1,1,Urban,Mobile App,1,0,27,73.8,0
BRW100003,39,Male,Ogun,Trading/Retail,0.6,57300,8,11300,44000,6,3.05,0,0,0,Rural,Mobile App,1,1,100,73.8,0
BRW100004,38,Male,Rivers,Agriculture,1.7,46900,34,185600,101000,2,4.69,0,1,1,Urban,POS Agent,1,0,40,68.4,0
BRW100005,59,Male,Osun,Trading/Retail,3.2,50400,48,69400,65000,2,9.95,1,0,1,Rural,POS Agent,0,0,38,67.5,1
BRW100006,22,Male,Rivers,Electronics/Phone Accessories,10.8,115900,179,576200,127000,2,3.61,1,0,1,Urban,POS Agent,1,0,68,48.7,0
BRW100007,51,Female,Kano,Trading/Retail,1.8,26100,23,103400,57000,9,9.31,1,0,1,Urban,Bank Branch,0,0,36,31.7,1
BRW100008,27,Male,Ogun,Food & Provisions,2.2,52800,38,76600,42000,1,8.69,0,0,0,Urban,Bank Branch,0,1,54,84.2,0
BRW100009,22,Male,Kano,Electronics/Phone Accessories,2.1,26200,38,153900,13000,3,8.32,1,0,0,Urban,POS Agent,0,1,13,42.3,0
BRW100010,43,Female,Delta,Trading/Retail,0.7,98800,7,24000,58000,2,4.02,0,1,1,Urban,POS Agent,0,1,43,83.3,0
BRW100011,64,Male,Anambra,Artisan/Repairs,3.3,27800,47,145900,11000,2,7.17,1,0,1,Urban,Bank Branch,1,0,23,54.9,1
BRW100012,53,Male,Plateau,Fashion & Tailoring,0.5,138900,10,27800,297000,1,7.88,0,1,0,Rural,Mobile App,0,0,180,75.1,1
BRW100013,54,Male,Rivers,Fashion & Tailoring,4.2,28800,58,262400,53000,1,4.95,1,1,1,Urban,Bank Branch,1,1,110,49.4,1
BRW100014,52,Female,Oyo,Food & Provisions,5.2,58100,92,322800,83000,6,7.72,0,0,1,Rural,Mobile App,0,1,29,58.2,0
BRW100015,55,Male,Edo,Transport/Logistics,0.4,64900,3,13900,104000,6,3.69,0,1,0,Urban,Cooperative (Esusu/Ajo),1,1,35,86.0,0
BRW100016,42,Female,Edo,Services (Salon/Barbing etc.),16.4,78800,245,655500,145000,12,3.52,1,0,0,Urban,Mobile App,1,0,36,73.5,0
BRW100017,24,Female,Ogun,Transport/Logistics,0.9,27200,7,40100,62000,3,6.84,0,0,1,Rural,POS Agent,0,0,60,74.5,0
BRW100018,58,Male,Plateau,Trading/Retail,1.4,25500,18,39200,29000,6,6.62,1,0,1,Urban,Cooperative (Esusu/Ajo),0,0,70,79.3,0
BRW100019,39,Female,Kwara,Agriculture,12.8,37900,194,935500,48000,1,8.61,1,1,1,Urban,POS Agent,0,1,16,46.3,0
BRW100020,42,Male,Delta,Artisan/Repairs,0.8,71800,6,34700,105000,2,11.4,1,1,0,Urban,Bank Branch,0,1,28,57.8,0
BRW100021,35,Male,Abuja (FCT),Fashion & Tailoring,3.7,49200,57,320900,77000,1,5.22,3,0,1,Urban,Mobile App,1,1,65,73.1,0
BRW100022,26,Male,Enugu,Trading/Retail,4.6,88800,58,213100,35000,3,6.92,1,1,0,Urban,Mobile App,1,0,12,53.4,0
BRW100023,62,Female,Anambra,Transport/Logistics,2.7,31000,47,56600,67000,12,7.64,0,0,1,Rural,Mobile App,1,0,33,72.6,0
BRW100024,55,Male,Enugu,Fashion & Tailoring,2.7,42600,44,112800,87000,3,6.86,0,0,1,Urban,POS Agent,0,1,32,48.9,1
BRW100025,48,Male,Kwara,Services (Salon/Barbing etc.),4.6,47000,50,165000,104000,6,8.26,0,1,1,Urban,Cooperative (Esusu/Ajo),0,1,29,48.2,0
BRW100026,37,Female,Lagos,Electronics/Phone Accessories,7.9,45700,129,695300,49000,6,4.54,2,1,0,Urban,Bank Branch,0,1,39,66.8,0
BRW100027,57,Male,Kano,Agriculture,3.7,67800,41,72100,59000,6,4.43,2,1,1,Urban,Bank Branch,1,1,6,85.9,0
BRW100028,44,Female,Anambra,Services (Salon/Barbing etc.),11.3,96900,155,235000,134000,1,11.92,0,1,0,Rural,Cooperative (Esusu/Ajo),0,0,7,93.9,0
BRW100029,39,Female,Delta,Services (Salon/Barbing etc.),0.8,35500,10,48400,56000,3,7.16,0,0,1,Rural,Bank Branch,1,0,17,35.2,0
BRW100030,39,Female,Rivers,Artisan/Repairs,11.1,38000,194,181100,23000,6,7.75,1,0,1,Urban,POS Agent,1,0,54,67.3,0
BRW100031,28,Female,Delta,Transport/Logistics,2.5,57800,25,21200,52000,6,4.57,0,0,1,Urban,Cooperative (Esusu/Ajo),1,0,132,64.0,0
BRW100032,22,Female,Lagos,Food & Provisions,11.0,58900,146,283900,46000,3,10.4,0,1,0,Rural,Cooperative (Esusu/Ajo),0,0,43,80.0,0
BRW100033,44,Male,Oyo,Food & Provisions,5.5,88700,88,96000,142000,3,7.13,0,0,1,Urban,Mobile App,0,1,31,59.1,0
BRW100034,60,Female,Anambra,Trading/Retail,1.5,51600,27,91500,17000,1,7.5,1,0,1,Rural,Cooperative (Esusu/Ajo),0,0,11,89.5,0
BRW100035,21,Female,Lagos,Agriculture,4.2,43800,65,238100,64000,12,3.6,0,1,1,Urban,POS Agent,1,0,34,66.4,0
BRW100036,59,Female,Delta,Artisan/Repairs,0.5,128300,6,18400,123000,6,8.6,2,1,1,Rural,POS Agent,0,0,29,51.3,0
BRW100037,57,Female,Enugu,Transport/Logistics,1.9,58800,27,80500,89000,3,8.91,1,0,1,Urban,POS Agent,0,1,34,35.3,0
BRW100038,31,Female,Enugu,Agriculture,2.7,72700,38,85400,168000,1,8.3,2,0,1,Urban,Bank Branch,1,0,22,85.5,1
BRW100039,48,Female,Enugu,Fashion & Tailoring,3.3,20600,49,263900,33000,9,9.1,1,0,1,Rural,POS Agent,1,1,38,86.6,0
BRW100040,25,Male,Edo,Artisan/Repairs,8.1,45400,123,396100,71000,1,7.19,1,1,1,Urban,POS Agent,1,1,9,78.5,0
BRW100041,54,Male,Edo,Agriculture,2.2,91300,30,140200,168000,2,5.2,0,0,1,Rural,POS Agent,1,0,15,76.4,0
BRW100042,51,Female,Edo,Agriculture,1.7,52200,26,115500,126000,3,6.73,0,0,1,Urban,POS Agent,0,1,22,44.2,0
BRW100043,35,Female,Rivers,Electronics/Phone Accessories,1.6,47200,20,22200,29000,3,10.27,2,0,1,Urban,Mobile App,0,1,100,81.3,0
BRW100044,21,Male,Edo,Food & Provisions,4.0,17400,67,369900,28000,1,7.51,1,0,0,Rural,POS Agent,1,0,11,54.5,1
BRW100045,64,Male,Rivers,Food & Provisions,6.1,45600,103,296400,44000,3,11.15,1,1,1,Rural,POS Agent,0,0,30,82.5,0
BRW100046,39,Female,Lagos,Trading/Retail,2.0,97600,32,148800,133000,12,9.27,0,0,1,Rural,Mobile App,0,0,101,99.9,0
BRW100047,60,Male,Osun,Trading/Retail,4.1,49400,57,199100,98000,2,5.63,0,0,1,Rural,POS Agent,0,0,37,76.5,0
BRW100048,50,Female,Rivers,Artisan/Repairs,2.3,63800,35,30300,134000,3,3.95,0,1,1,Urban,POS Agent,1,1,45,80.6,0
BRW100049,55,Female,Kano,Fashion & Tailoring,0.6,41200,11,62500,46000,3,11.74,0,0,1,Rural,Cooperative (Esusu/Ajo),0,0,51,38.9,0
BRW100050,54,Male,Kaduna,Fashion & Tailoring,10.3,41000,145,209100,46000,1,7.76,0,1,1,Urban,Cooperative (Esusu/Ajo),1,1,43,87.2,0
BRW100051,27,Male,Osun,Agriculture,10.5,50700,142,689800,95000,2,7.81,0,0,0,Urban,Cooperative (Esusu/Ajo),1,1,55,92.7,0
BRW100052,35,Female,Plateau,Services (Salon/Barbing etc.),4.0,64700,55,314600,131000,1,3.71,0,0,1,Urban,POS Agent,1,0,25,70.1,0
BRW100053,40,Male,Abuja (FCT),Electronics/Phone Accessories,0.8,75400,10,45900,113000,3,7.54,0,1,1,Urban,Mobile App,0,1,145,62.9,1
BRW100054,41,Female,Rivers,Fashion & Tailoring,1.0,72700,19,67900,106000,3,11.65,1,1,0,Urban,Cooperative (Esusu/Ajo),0,0,59,74.8,0
BRW100055,20,Male,Delta,Agriculture,3.8,40900,67,151200,48000,6,3.4,2,0,1,Urban,POS Agent,0,0,39,80.1,0
BRW100056,44,Male,Kwara,Services (Salon/Barbing etc.),3.7,55200,62,250000,54000,6,9.98,2,0,0,Urban,Bank Branch,1,1,58,43.9,0
BRW100057,25,Male,Kaduna,Transport/Logistics,0.5,24500,6,14400,49000,6,6.82,1,0,1,Urban,Bank Branch,0,0,20,100.0,0
BRW100058,53,Female,Oyo,Services (Salon/Barbing etc.),2.2,56600,36,70400,32000,1,4.51,1,1,1,Urban,POS Agent,1,0,17,70.2,0
BRW100059,50,Female,Plateau,Artisan/Repairs,3.1,16300,50,182400,34000,2,10.96,2,0,1,Rural,Mobile App,0,0,42,52.8,0
BRW100060,62,Female,Kano,Services (Salon/Barbing etc.),8.2,21400,105,207900,16000,12,9.42,1,0,1,Urban,POS Agent,0,1,5,65.6,0
BRW100061,53,Male,Plateau,Agriculture,4.8,54900,76,300800,75000,3,9.0,1,1,1,Urban,POS Agent,0,1,46,100.0,0
BRW100062,35,Female,Anambra,Transport/Logistics,2.3,66000,34,135500,46000,9,9.98,0,0,1,Urban,Bank Branch,0,0,23,31.9,0
BRW100063,64,Male,Abuja (FCT),Food & Provisions,8.7,25200,126,390900,45000,12,10.07,1,1,1,Urban,Bank Branch,0,0,40,83.7,0
BRW100064,37,Female,Ogun,Services (Salon/Barbing etc.),9.9,66600,153,744500,77000,3,9.34,0,0,1,Urban,Mobile App,0,1,36,99.0,0
BRW100065,33,Female,Edo,Artisan/Repairs,5.9,44800,109,454200,109000,12,6.51,3,0,1,Urban,POS Agent,1,1,107,85.9,0
BRW100066,61,Male,Plateau,Artisan/Repairs,0.8,91600,22,123300,138000,3,6.52,1,1,0,Urban,POS Agent,0,1,25,60.7,0
BRW100067,35,Female,Anambra,Electronics/Phone Accessories,2.8,109300,46,104000,158000,3,10.47,0,1,1,Urban,Mobile App,1,1,3,55.7,0
BRW100068,21,Male,Rivers,Artisan/Repairs,2.2,15000,27,140700,20000,6,6.02,0,1,1,Urban,POS Agent,0,0,66,55.8,0
BRW100069,40,Male,Kano,Artisan/Repairs,1.9,141200,30,55100,50000,6,3.81,0,0,1,Urban,POS Agent,1,0,46,72.0,0
BRW100070,56,Female,Plateau,Transport/Logistics,9.0,81200,140,117600,26000,9,3.71,1,0,0,Rural,Mobile App,0,0,24,79.5,0
BRW100071,27,Female,Osun,Trading/Retail,9.6,68500,163,240200,76000,2,3.89,0,1,1,Urban,Cooperative (Esusu/Ajo),0,0,35,80.5,0
BRW100072,40,Male,Edo,Artisan/Repairs,2.3,40900,29,151200,62000,2,3.3,0,0,0,Rural,Mobile App,1,0,9,70.1,0
BRW100073,24,Female,Lagos,Fashion & Tailoring,2.7,65300,41,187500,147000,1,9.69,2,0,1,Rural,Mobile App,1,0,44,60.9,1
BRW100074,50,Male,Plateau,Trading/Retail,0.9,60100,16,27700,120000,2,6.63,0,0,1,Rural,Mobile App,0,1,21,84.8,0
BRW100075,40,Female,Anambra,Fashion & Tailoring,8.3,78800,129,756100,162000,3,9.43,3,1,1,Urban,Mobile App,1,1,36,89.1,0
BRW100076,33,Female,Oyo,Fashion & Tailoring,6.9,60100,112,418800,131000,9,4.39,1,0,1,Urban,Mobile App,0,1,109,62.9,0
BRW100077,28,Male,Ogun,Food & Provisions,1.8,67000,21,59700,51000,3,7.44,3,1,1,Rural,POS Agent,0,0,123,31.5,0
BRW100078,45,Female,Osun,Fashion & Tailoring,2.0,74300,37,100100,154000,3,8.57,2,0,0,Urban,Cooperative (Esusu/Ajo),0,0,38,72.3,0
BRW100079,50,Female,Abuja (FCT),Electronics/Phone Accessories,4.6,17000,69,293100,10000,3,3.11,3,0,1,Urban,Mobile App,0,1,48,87.8,0
BRW100080,63,Male,Delta,Electronics/Phone Accessories,4.5,42200,81,482300,79000,2,10.7,0,1,0,Rural,POS Agent,0,0,23,45.5,0
BRW100081,38,Male,Abuja (FCT),Trading/Retail,3.4,49500,48,248100,70000,3,5.94,0,0,0,Urban,POS Agent,0,0,21,59.7,0
BRW100082,25,Male,Kwara,Food & Provisions,6.5,40100,98,92600,71000,2,4.39,0,1,1,Urban,POS Agent,0,1,12,94.1,0
BRW100083,57,Female,Delta,Fashion & Tailoring,5.1,91900,85,440900,48000,3,4.33,1,1,1,Rural,POS Agent,0,1,56,64.0,0
BRW100084,48,Female,Kaduna,Services (Salon/Barbing etc.),4.1,120300,79,432000,50000,1,4.81,1,1,1,Urban,Mobile App,0,1,26,71.9,0
BRW100085,51,Female,Kano,Food & Provisions,2.2,53500,33,39300,106000,9,5.32,2,0,1,Urban,POS Agent,0,1,45,59.4,0
BRW100086,22,Female,Kano,Artisan/Repairs,5.2,53400,83,460800,121000,6,4.04,0,0,1,Rural,Mobile App,0,0,46,54.4,0
BRW100087,32,Female,Oyo,Trading/Retail,4.1,52600,53,291100,26000,3,8.71,1,1,1,Rural,Mobile App,0,0,38,71.2,0
BRW100088,54,Male,Abuja (FCT),Artisan/Repairs,2.3,20900,32,163600,16000,12,6.93,0,1,1,Rural,Mobile App,0,0,20,94.9,0
BRW100089,57,Male,Kano,Food & Provisions,2.5,30500,37,121600,62000,6,10.86,0,0,1,Urban,Mobile App,1,1,34,70.2,0
BRW100090,38,Female,Kano,Electronics/Phone Accessories,1.8,30700,29,62300,14000,6,10.02,0,0,0,Urban,Cooperative (Esusu/Ajo),1,0,22,42.7,0
BRW100091,56,Male,Osun,Trading/Retail,3.8,77000,56,93900,28000,3,8.47,1,0,1,Urban,Cooperative (Esusu/Ajo),0,0,53,73.2,0
BRW100092,58,Male,Ogun,Fashion & Tailoring,6.0,39700,90,153400,99000,2,8.79,1,0,1,Urban,Cooperative (Esusu/Ajo),0,0,82,93.7,0
BRW100093,36,Female,Kano,Services (Salon/Barbing etc.),1.2,47300,17,99800,110000,6,8.54,2,0,1,Rural,POS Agent,0,1,20,100.0,0
BRW100094,61,Female,Plateau,Agriculture,2.4,44900,43,172900,24000,3,5.73,1,0,1,Urban,POS Agent,0,0,29,67.5,0
BRW100095,31,Female,Osun,Fashion & Tailoring,6.2,42700,92,342500,26000,2,3.02,0,1,1,Urban,Cooperative (Esusu/Ajo),0,1,68,57.3,0
BRW100096,29,Male,Enugu,Fashion & Tailoring,2.7,155600,40,44200,281000,12,3.46,0,0,1,Urban,Mobile App,0,1,22,74.0,0
BRW100097,50,Female,Kano,Transport/Logistics,3.5,52200,45,122900,32000,1,4.51,1,1,1,Urban,POS Agent,1,0,75,63.2,1
BRW100098,48,Male,Delta,Trading/Retail,1.5,106600,22,87100,165000,3,7.85,0,0,0,Urban,Mobile App,1,0,70,67.0,0
BRW100099,24,Male,Plateau,Transport/Logistics,1.4,33400,19,104000,54000,3,5.69,1,1,1,Rural,POS Agent,0,0,43,90.8,0
BRW100100,57,Female,Osun,Services (Salon/Barbing etc.),2.3,26700,42,159000,60000,1,10.2,0,0,1,Urban,Mobile App,0,0,19,67.9,1
BRW100101,27,Female,Delta,Fashion & Tailoring,2.9,80400,57,202000,191000,3,7.12,1,0,1,Urban,POS Agent,0,0,15,73.8,0
BRW100102,56,Female,Osun,Agriculture,4.5,53600,68,133800,31000,6,6.63,1,1,1,Urban,Mobile App,0,1,37,81.7,0
BRW100103,18,Female,Kwara,Fashion & Tailoring,9.0,69500,123,154200,158000,9,8.53,0,0,0,Urban,Mobile App,0,0,22,96.8,0
